metric_score,metric_name,mol_prop,model_name,fold,split_type,task,AC_label,suffix
0.9999999999999998,AUPRC,MDR1,grover_base_rdkit,8,scaffold,cutoff6,AC,
1.0,Precision_PPV,MDR1,RF,8,scaffold,cutoff6,AC,
1.0,Precision_PPV,MDR1,molbert,8,scaffold,cutoff6,AC,
1.0,Precision_PPV,MDR1,grover_base,8,scaffold,cutoff6,AC,
1.0,Precision_PPV,MDR1,grover_base_rdkit,8,scaffold,cutoff6,AC,
0.9814814814814815,Precision_NPV,MDR1,RF,8,scaffold,cutoff6,AC,
0.9814814814814815,Precision_NPV,MDR1,molbert,8,scaffold,cutoff6,AC,
0.9814814814814815,Precision_NPV,MDR1,grover_base,8,scaffold,cutoff6,AC,
0.9814814814814815,Precision_NPV,MDR1,grover_base_rdkit,8,scaffold,cutoff6,AC,
0.9889277389277389,AUROC,MDR1,RF,9,scaffold,cutoff6,AC,
0.9813519813519813,AUROC,MDR1,molbert,9,scaffold,cutoff6,AC,
0.5058275058275058,AUROC,MDR1,grover_base,9,scaffold,cutoff6,AC,
0.9825174825174825,AUROC,MDR1,grover_base_rdkit,9,scaffold,cutoff6,AC,
0.989567621920563,AUPRC,MDR1,RF,9,scaffold,cutoff6,AC,
0.985169302242473,AUPRC,MDR1,molbert,9,scaffold,cutoff6,AC,
0.39939690440641673,AUPRC,MDR1,grover_base,9,scaffold,cutoff6,AC,
0.9857528142589118,AUPRC,MDR1,grover_base_rdkit,9,scaffold,cutoff6,AC,
1.0,Precision_PPV,MDR1,RF,9,scaffold,cutoff6,AC,
1.0,Precision_PPV,MDR1,molbert,9,scaffold,cutoff6,AC,
0.5208333333333334,Precision_PPV,MDR1,grover_base,9,scaffold,cutoff6,AC,
1.0,Precision_PPV,MDR1,grover_base_rdkit,9,scaffold,cutoff6,AC,
0.9428571428571428,Precision_NPV,MDR1,RF,9,scaffold,cutoff6,AC,
0.9428571428571428,Precision_NPV,MDR1,molbert,9,scaffold,cutoff6,AC,
0.9090909090909091,Precision_NPV,MDR1,grover_base,9,scaffold,cutoff6,AC,
0.9428571428571428,Precision_NPV,MDR1,grover_base_rdkit,9,scaffold,cutoff6,AC,
0.9375,AUROC,MDR1,RF,10,scaffold,cutoff6,AC,
0.7395833333333334,AUROC,MDR1,molbert,10,scaffold,cutoff6,AC,
0.8333333333333334,AUROC,MDR1,grover_base,10,scaffold,cutoff6,AC,
0.75,AUROC,MDR1,grover_base_rdkit,10,scaffold,cutoff6,AC,
0.6378968253968254,AUPRC,MDR1,RF,10,scaffold,cutoff6,AC,
0.14210858585858588,AUPRC,MDR1,molbert,10,scaffold,cutoff6,AC,
0.201010101010101,AUPRC,MDR1,grover_base,10,scaffold,cutoff6,AC,
0.1427910052910053,AUPRC,MDR1,grover_base_rdkit,10,scaffold,cutoff6,AC,
0.2857142857142857,Precision_PPV,MDR1,RF,10,scaffold,cutoff6,AC,
0.13333333333333333,Precision_PPV,MDR1,molbert,10,scaffold,cutoff6,AC,
0.2,Precision_PPV,MDR1,grover_base,10,scaffold,cutoff6,AC,
0.14285714285714285,Precision_PPV,MDR1,grover_base_rdkit,10,scaffold,cutoff6,AC,
0.9642857142857143,Precision_NPV,MDR1,RF,10,scaffold,cutoff6,AC,
0.95,Precision_NPV,MDR1,molbert,10,scaffold,cutoff6,AC,
0.96,Precision_NPV,MDR1,grover_base,10,scaffold,cutoff6,AC,
0.9523809523809523,Precision_NPV,MDR1,grover_base_rdkit,10,scaffold,cutoff6,AC,
1.0,AUROC,MDR1,RF,11,scaffold,cutoff6,AC,
1.0,AUROC,MDR1,molbert,11,scaffold,cutoff6,AC,
1.0,AUROC,MDR1,grover_base,11,scaffold,cutoff6,AC,
1.0,AUROC,MDR1,grover_base_rdkit,11,scaffold,cutoff6,AC,
1.0,AUPRC,MDR1,RF,11,scaffold,cutoff6,AC,
0.9999999999999998,AUPRC,MDR1,molbert,11,scaffold,cutoff6,AC,
1.0,AUPRC,MDR1,grover_base,11,scaffold,cutoff6,AC,
1.0,AUPRC,MDR1,grover_base_rdkit,11,scaffold,cutoff6,AC,
1.0,Precision_PPV,MDR1,RF,11,scaffold,cutoff6,AC,
1.0,Precision_PPV,MDR1,molbert,11,scaffold,cutoff6,AC,
1.0,Precision_PPV,MDR1,grover_base,11,scaffold,cutoff6,AC,
1.0,Precision_PPV,MDR1,grover_base_rdkit,11,scaffold,cutoff6,AC,
0.6666666666666666,Precision_NPV,MDR1,RF,11,scaffold,cutoff6,AC,
0.8,Precision_NPV,MDR1,molbert,11,scaffold,cutoff6,AC,
0.6666666666666666,Precision_NPV,MDR1,grover_base,11,scaffold,cutoff6,AC,
0.6666666666666666,Precision_NPV,MDR1,grover_base_rdkit,11,scaffold,cutoff6,AC,
0.972972972972973,AUROC,MDR1,RF,12,scaffold,cutoff6,AC,
0.5675675675675675,AUROC,MDR1,molbert,12,scaffold,cutoff6,AC,
0.8828828828828829,AUROC,MDR1,grover_base,12,scaffold,cutoff6,AC,
0.9369369369369369,AUROC,MDR1,grover_base_rdkit,12,scaffold,cutoff6,AC,
0.7638888888888888,AUPRC,MDR1,RF,12,scaffold,cutoff6,AC,
0.10980352479179445,AUPRC,MDR1,molbert,12,scaffold,cutoff6,AC,
0.13953081232492998,AUPRC,MDR1,grover_base,12,scaffold,cutoff6,AC,
0.2287878787878788,AUPRC,MDR1,grover_base_rdkit,12,scaffold,cutoff6,AC,
0.25,Precision_PPV,MDR1,RF,12,scaffold,cutoff6,AC,
0.0,Precision_PPV,MDR1,molbert,12,scaffold,cutoff6,AC,
0.125,Precision_PPV,MDR1,grover_base,12,scaffold,cutoff6,AC,
0.2,Precision_PPV,MDR1,grover_base_rdkit,12,scaffold,cutoff6,AC,
0.9855072463768116,Precision_NPV,MDR1,RF,12,scaffold,cutoff6,AC,
0.9605263157894737,Precision_NPV,MDR1,molbert,12,scaffold,cutoff6,AC,
0.9836065573770492,Precision_NPV,MDR1,grover_base,12,scaffold,cutoff6,AC,
0.9850746268656716,Precision_NPV,MDR1,grover_base_rdkit,12,scaffold,cutoff6,AC,
-1.0,AUROC,MDR1,RF,13,scaffold,cutoff6,AC,
-1.0,AUROC,MDR1,molbert,13,scaffold,cutoff6,AC,
-1.0,AUROC,MDR1,grover_base,13,scaffold,cutoff6,AC,
-1.0,AUROC,MDR1,grover_base_rdkit,13,scaffold,cutoff6,AC,
,AUPRC,MDR1,RF,13,scaffold,cutoff6,AC,
,AUPRC,MDR1,molbert,13,scaffold,cutoff6,AC,
,AUPRC,MDR1,grover_base,13,scaffold,cutoff6,AC,
,AUPRC,MDR1,grover_base_rdkit,13,scaffold,cutoff6,AC,
0.0,Precision_PPV,MDR1,RF,13,scaffold,cutoff6,AC,
0.0,Precision_PPV,MDR1,molbert,13,scaffold,cutoff6,AC,
0.0,Precision_PPV,MDR1,grover_base,13,scaffold,cutoff6,AC,
0.0,Precision_PPV,MDR1,grover_base_rdkit,13,scaffold,cutoff6,AC,
1.0,Precision_NPV,MDR1,RF,13,scaffold,cutoff6,AC,
1.0,Precision_NPV,MDR1,molbert,13,scaffold,cutoff6,AC,
