radius_2,radius_3,metric_name,mol_prop,split_type,nbit,p_value,stats_method
Radius: 2,Radius: 3,MAE,MDR1,random,NumBits: 1024,0.6559300443969969,ttest_ind
Radius: 2,Radius: 3,MAE,MDR1,random,NumBits: 1024,0.7449863001756435,ranksums
Radius: 2,Radius: 3,RMSE,CYP2D6,random,NumBits: 1024,2.4833186069045697e-06,ttest_rel
Radius: 2,Radius: 3,RMSE,CYP2D6,random,NumBits: 1024,4.0715116266282543e-05,wilcoxon
Radius: 2,Radius: 3,RMSE,CYP2D6,random,NumBits: 1024,0.26393998235663874,ttest_ind
Radius: 2,Radius: 3,RMSE,CYP2D6,random,NumBits: 1024,0.2804704772772293,ranksums
Radius: 2,Radius: 3,R2,CYP2D6,random,NumBits: 1024,1.5560998399046117e-06,ttest_rel
Radius: 2,Radius: 3,R2,CYP2D6,random,NumBits: 1024,4.0715116266282543e-05,wilcoxon
Radius: 2,Radius: 3,R2,CYP2D6,random,NumBits: 1024,0.1707722056604542,ttest_ind
Radius: 2,Radius: 3,R2,CYP2D6,random,NumBits: 1024,0.173777038979135,ranksums
Radius: 2,Radius: 3,Pearson_R,CYP2D6,random,NumBits: 1024,8.640010424070172e-06,ttest_rel
Radius: 2,Radius: 3,Pearson_R,CYP2D6,random,NumBits: 1024,7.513662254944795e-05,wilcoxon
Radius: 2,Radius: 3,Pearson_R,CYP2D6,random,NumBits: 1024,0.2557574110127548,ttest_ind
Radius: 2,Radius: 3,Pearson_R,CYP2D6,random,NumBits: 1024,0.32917742467820843,ranksums
Radius: 2,Radius: 3,MAE,CYP2D6,random,NumBits: 1024,1.1715627376070354e-06,ttest_rel
Radius: 2,Radius: 3,MAE,CYP2D6,random,NumBits: 1024,4.0715116266282543e-05,wilcoxon
Radius: 2,Radius: 3,MAE,CYP2D6,random,NumBits: 1024,0.12342913607389372,ttest_ind
Radius: 2,Radius: 3,MAE,CYP2D6,random,NumBits: 1024,0.15581016161085134,ranksums
Radius: 2,Radius: 3,RMSE,CYP3A4,random,NumBits: 1024,3.8082974486230724e-09,ttest_rel
Radius: 2,Radius: 3,RMSE,CYP3A4,random,NumBits: 1024,2.603328389538926e-06,wilcoxon
Radius: 2,Radius: 3,RMSE,CYP3A4,random,NumBits: 1024,0.14867339744707692,ttest_ind
Radius: 2,Radius: 3,RMSE,CYP3A4,random,NumBits: 1024,0.1646090619494487,ranksums
Radius: 2,Radius: 3,R2,CYP3A4,random,NumBits: 1024,3.5947864694486907e-09,ttest_rel
Radius: 2,Radius: 3,R2,CYP3A4,random,NumBits: 1024,2.603328389538926e-06,wilcoxon
Radius: 2,Radius: 3,R2,CYP3A4,random,NumBits: 1024,0.09921420779820436,ttest_ind
Radius: 2,Radius: 3,R2,CYP3A4,random,NumBits: 1024,0.10078263179832223,ranksums
Radius: 2,Radius: 3,Pearson_R,CYP3A4,random,NumBits: 1024,4.267933770410341e-08,ttest_rel
Radius: 2,Radius: 3,Pearson_R,CYP3A4,random,NumBits: 1024,3.882182386060857e-06,wilcoxon
Radius: 2,Radius: 3,Pearson_R,CYP3A4,random,NumBits: 1024,0.13976624369560872,ttest_ind
