model,metric_name,mol_prop,task,p_value,stats_method
grover_base_rdkit,AUROC,KOR,cutoff6,0.005350351391871149,ttest_ind
grover_base_rdkit,AUROC,KOR,cutoff6,0.007451086888798474,ranksums
grover_base_rdkit,AUPRC,KOR,cutoff6,0.045348026946067634,ttest_rel
grover_base_rdkit,AUPRC,KOR,cutoff6,0.0427666880169531,wilcoxon
grover_base_rdkit,AUPRC,KOR,cutoff6,0.02688492195558874,ttest_ind
grover_base_rdkit,AUPRC,KOR,cutoff6,0.052774720616058944,ranksums
grover_base_rdkit,Precision_PPV,KOR,cutoff6,0.6320272528837219,ttest_rel
grover_base_rdkit,Precision_PPV,KOR,cutoff6,0.6435078226002144,wilcoxon
grover_base_rdkit,Precision_PPV,KOR,cutoff6,0.5762126083267658,ttest_ind
grover_base_rdkit,Precision_PPV,KOR,cutoff6,0.6681063796183101,ranksums
grover_base_rdkit,Precision_NPV,KOR,cutoff6,0.02747322243271256,ttest_rel
grover_base_rdkit,Precision_NPV,KOR,cutoff6,0.023038144695472357,wilcoxon
grover_base_rdkit,Precision_NPV,KOR,cutoff6,0.06632978227743974,ttest_ind
grover_base_rdkit,Precision_NPV,KOR,cutoff6,0.13928936568684838,ranksums
