split_type,metric_name,mol_prop,model_name,task,p_value,stats_method
scaffold,Precision_NPV,CYP2D6,grover_base_rdkit,cutoff6,0.6715616916012745,ttest_rel
scaffold,Precision_NPV,CYP2D6,grover_base_rdkit,cutoff6,0.3744947549643215,wilcoxon
scaffold,Precision_NPV,CYP2D6,grover_base_rdkit,cutoff6,0.6483952662024656,ttest_ind
scaffold,Precision_NPV,CYP2D6,grover_base_rdkit,cutoff6,0.23690664278331564,ranksums
scaffold,AUROC,MOR,RF,cutoff6,0.0003904958572164308,ttest_rel
scaffold,AUROC,MOR,RF,cutoff6,0.0008944300647461546,wilcoxon
scaffold,AUROC,MOR,RF,cutoff6,0.0001379384059982205,ttest_ind
scaffold,AUROC,MOR,RF,cutoff6,0.0011436497674470886,ranksums
scaffold,AUROC,MOR,molbert,cutoff6,0.0014945080407737393,ttest_rel
scaffold,AUROC,MOR,molbert,cutoff6,0.003378854437718857,wilcoxon
scaffold,AUROC,MOR,molbert,cutoff6,0.0012446496193403167,ttest_ind
scaffold,AUROC,MOR,molbert,cutoff6,0.003939537655057589,ranksums
scaffold,AUROC,MOR,grover_base,cutoff6,0.003493653574041766,ttest_rel
scaffold,AUROC,MOR,grover_base,cutoff6,0.0056671726914977955,wilcoxon
scaffold,AUROC,MOR,grover_base,cutoff6,0.010390413378160828,ttest_ind
scaffold,AUROC,MOR,grover_base,cutoff6,0.005961288528864798,ranksums
scaffold,AUROC,MOR,grover_base_rdkit,cutoff6,0.0014524094297800856,ttest_rel
scaffold,AUROC,MOR,grover_base_rdkit,cutoff6,0.0019645813713265476,wilcoxon
scaffold,AUROC,MOR,grover_base_rdkit,cutoff6,0.0019110360539017143,ttest_ind
scaffold,AUROC,MOR,grover_base_rdkit,cutoff6,0.0016378388653489845,ranksums
scaffold,AUPRC,MOR,RF,cutoff6,0.0001657211876107626,ttest_rel
scaffold,AUPRC,MOR,RF,cutoff6,0.000489690070533264,wilcoxon
scaffold,AUPRC,MOR,RF,cutoff6,7.26257970065084e-05,ttest_ind
scaffold,AUPRC,MOR,RF,cutoff6,0.0029618532238485373,ranksums
scaffold,AUPRC,MOR,molbert,cutoff6,0.009913732829978159,ttest_rel
scaffold,AUPRC,MOR,molbert,cutoff6,0.012452560438554458,wilcoxon
scaffold,AUPRC,MOR,molbert,cutoff6,0.00668828051700302,ttest_ind
scaffold,AUPRC,MOR,molbert,cutoff6,0.014119268503564245,ranksums
scaffold,AUPRC,MOR,grover_base,cutoff6,0.009062084673576934,ttest_rel
scaffold,AUPRC,MOR,grover_base,cutoff6,0.01319416986541395,wilcoxon
scaffold,AUPRC,MOR,grover_base,cutoff6,0.006818383617116112,ttest_ind
scaffold,AUPRC,MOR,grover_base,cutoff6,0.008874707243582238,ranksums
scaffold,AUPRC,MOR,grover_base_rdkit,cutoff6,0.0027394086083898355,ttest_rel
scaffold,AUPRC,MOR,grover_base_rdkit,cutoff6,0.005319684023981225,wilcoxon
scaffold,AUPRC,MOR,grover_base_rdkit,cutoff6,0.003257142470559778,ttest_ind
scaffold,AUPRC,MOR,grover_base_rdkit,cutoff6,0.005961288528864798,ranksums
scaffold,Precision_PPV,MOR,RF,cutoff6,0.008871697678469754,ttest_rel
scaffold,Precision_PPV,MOR,RF,cutoff6,0.012452560438554458,wilcoxon
scaffold,Precision_PPV,MOR,RF,cutoff6,0.009276260884430416,ttest_ind
scaffold,Precision_PPV,MOR,RF,cutoff6,0.0032599394371983655,ranksums
scaffold,Precision_PPV,MOR,molbert,cutoff6,0.05041809840995127,ttest_rel
scaffold,Precision_PPV,MOR,molbert,cutoff6,0.040702311426277726,wilcoxon
scaffold,Precision_PPV,MOR,molbert,cutoff6,0.069416778548634,ttest_ind
scaffold,Precision_PPV,MOR,molbert,cutoff6,0.044359071603931766,ranksums
scaffold,Precision_PPV,MOR,grover_base,cutoff6,0.15056686776329448,ttest_rel
scaffold,Precision_PPV,MOR,grover_base,cutoff6,0.10639417319061394,wilcoxon
scaffold,Precision_PPV,MOR,grover_base,cutoff6,0.1244271766151095,ttest_ind
scaffold,Precision_PPV,MOR,grover_base,cutoff6,0.03325779663050038,ranksums
scaffold,Precision_PPV,MOR,grover_base_rdkit,cutoff6,0.022894263273165554,ttest_rel
scaffold,Precision_PPV,MOR,grover_base_rdkit,cutoff6,0.03326889706740501,wilcoxon
scaffold,Precision_PPV,MOR,grover_base_rdkit,cutoff6,0.03404522457257928,ttest_ind
scaffold,Precision_PPV,MOR,grover_base_rdkit,cutoff6,0.016954880587293254,ranksums
scaffold,Precision_NPV,MOR,RF,cutoff6,0.10661651768389552,ttest_rel
scaffold,Precision_NPV,MOR,RF,cutoff6,0.21335807338945145,wilcoxon
scaffold,Precision_NPV,MOR,RF,cutoff6,0.1059314658500327,ttest_ind
scaffold,Precision_NPV,MOR,RF,cutoff6,0.7449863001756435,ranksums
scaffold,Precision_NPV,MOR,molbert,cutoff6,0.14710302066336714,ttest_rel
scaffold,Precision_NPV,MOR,molbert,cutoff6,0.4405215911492053,wilcoxon
scaffold,Precision_NPV,MOR,molbert,cutoff6,0.184046936318632,ttest_ind
scaffold,Precision_NPV,MOR,molbert,cutoff6,0.662734758176107,ranksums
scaffold,Precision_NPV,MOR,grover_base,cutoff6,0.6412468627209529,ttest_rel
scaffold,Precision_NPV,MOR,grover_base,cutoff6,0.854172545006435,wilcoxon
scaffold,Precision_NPV,MOR,grover_base,cutoff6,0.674584460019026,ttest_ind
scaffold,Precision_NPV,MOR,grover_base,cutoff6,0.5894511694056184,ranksums
scaffold,Precision_NPV,MOR,grover_base_rdkit,cutoff6,0.21371135533104293,ttest_rel
scaffold,Precision_NPV,MOR,grover_base_rdkit,cutoff6,0.2894770717054542,wilcoxon
scaffold,Precision_NPV,MOR,grover_base_rdkit,cutoff6,0.20509997857227913,ttest_ind
scaffold,Precision_NPV,MOR,grover_base_rdkit,cutoff6,0.7674679739607242,ranksums
scaffold,AUROC,DOR,RF,cutoff6,2.398884916969862e-06,ttest_rel
scaffold,AUROC,DOR,RF,cutoff6,2.370447702550485e-05,wilcoxon
scaffold,AUROC,DOR,RF,cutoff6,3.607796973344488e-07,ttest_ind
scaffold,AUROC,DOR,RF,cutoff6,4.275281031924065e-07,ranksums
scaffold,AUROC,DOR,molbert,cutoff6,0.0016821783345548269,ttest_rel
scaffold,AUROC,DOR,molbert,cutoff6,0.001832579947170524,wilcoxon
scaffold,AUROC,DOR,molbert,cutoff6,0.0017841139977814913,ttest_ind
scaffold,AUROC,DOR,molbert,cutoff6,0.005201921540448324,ranksums
scaffold,AUROC,DOR,grover_base,cutoff6,0.030545190178928896,ttest_rel
scaffold,AUROC,DOR,grover_base,cutoff6,0.02702915661831454,wilcoxon
scaffold,AUROC,DOR,grover_base,cutoff6,0.12254401286704697,ttest_ind
scaffold,AUROC,DOR,grover_base,cutoff6,0.08106110555538913,ranksums
scaffold,AUROC,DOR,grover_base_rdkit,cutoff6,0.0007367093279143947,ttest_rel
scaffold,AUROC,DOR,grover_base_rdkit,cutoff6,0.0022551238907870907,wilcoxon
scaffold,AUROC,DOR,grover_base_rdkit,cutoff6,0.0002856997129384632,ttest_ind
scaffold,AUROC,DOR,grover_base_rdkit,cutoff6,0.0020019362197643445,ranksums
scaffold,AUPRC,DOR,RF,cutoff6,0.000896888181349915,ttest_rel
scaffold,AUPRC,DOR,RF,cutoff6,0.002957462130717483,wilcoxon
scaffold,AUPRC,DOR,RF,cutoff6,0.00031155679889076896,ttest_ind
scaffold,AUPRC,DOR,RF,cutoff6,0.0006373466312952018,ranksums
scaffold,AUPRC,DOR,molbert,cutoff6,0.35950766285993396,ttest_rel
scaffold,AUPRC,DOR,molbert,cutoff6,0.34934556237492975,wilcoxon
scaffold,AUPRC,DOR,molbert,cutoff6,0.4210257616164327,ttest_ind
scaffold,AUPRC,DOR,molbert,cutoff6,1.0,ranksums
scaffold,AUPRC,DOR,grover_base,cutoff6,0.9811571818860095,ttest_rel
scaffold,AUPRC,DOR,grover_base,cutoff6,0.9426105124576512,wilcoxon
scaffold,AUPRC,DOR,grover_base,cutoff6,0.9865300378041892,ttest_ind
scaffold,AUPRC,DOR,grover_base,cutoff6,0.9058494458660942,ranksums
scaffold,AUPRC,DOR,grover_base_rdkit,cutoff6,0.6041528123774517,ttest_rel
scaffold,AUPRC,DOR,grover_base_rdkit,cutoff6,0.47794743855272326,wilcoxon
scaffold,AUPRC,DOR,grover_base_rdkit,cutoff6,0.6524412203636025,ttest_ind
scaffold,AUPRC,DOR,grover_base_rdkit,cutoff6,0.9764109078760824,ranksums
scaffold,Precision_PPV,DOR,RF,cutoff6,0.07118320184649246,ttest_rel
scaffold,Precision_PPV,DOR,RF,cutoff6,0.18462187723062606,wilcoxon
scaffold,Precision_PPV,DOR,RF,cutoff6,0.11472704846467474,ttest_ind
scaffold,Precision_PPV,DOR,RF,cutoff6,0.12967022490828164,ranksums
scaffold,Precision_PPV,DOR,molbert,cutoff6,0.933342302653471,ttest_rel
scaffold,Precision_PPV,DOR,molbert,cutoff6,0.9099307681587345,wilcoxon
scaffold,Precision_PPV,DOR,molbert,cutoff6,0.9490922770174232,ttest_ind
