model,metric_name,mol_prop,task,p_value,stats_method
grover_base_rdkit,R2,CYP2D6,reg,2.4732374005572355e-05,ttest_rel
grover_base_rdkit,R2,CYP2D6,reg,0.00018909720229770685,wilcoxon
grover_base_rdkit,R2,CYP2D6,reg,8.298125766678394e-05,ttest_ind
grover_base_rdkit,R2,CYP2D6,reg,0.0003877821295709836,ranksums
grover_base_rdkit,Pearson_R,CYP2D6,reg,0.00024992035982795654,ttest_rel
grover_base_rdkit,Pearson_R,CYP2D6,reg,0.0008944300647461546,wilcoxon
grover_base_rdkit,Pearson_R,CYP2D6,reg,0.000601166933402608,ttest_ind
grover_base_rdkit,Pearson_R,CYP2D6,reg,0.001268534539381128,ranksums
grover_base_rdkit,RMSE,MOR,reg,0.5876149330546494,ttest_rel
grover_base_rdkit,RMSE,MOR,reg,0.5577426862039239,wilcoxon
grover_base_rdkit,RMSE,MOR,reg,0.5637736573226326,ttest_ind
grover_base_rdkit,RMSE,MOR,reg,0.5058591780795985,ranksums
grover_base_rdkit,MAE,MOR,reg,0.46159349953062334,ttest_rel
grover_base_rdkit,MAE,MOR,reg,0.4048347221574208,wilcoxon
grover_base_rdkit,MAE,MOR,reg,0.44818674173606754,ttest_ind
grover_base_rdkit,MAE,MOR,reg,0.4597726465485664,ranksums
grover_base_rdkit,R2,MOR,reg,0.08922576695253459,ttest_rel
grover_base_rdkit,R2,MOR,reg,0.0977721901049929,wilcoxon
grover_base_rdkit,R2,MOR,reg,0.11849546972308132,ttest_ind
grover_base_rdkit,R2,MOR,reg,0.13537778532322625,ranksums
grover_base_rdkit,Pearson_R,MOR,reg,0.1410721299610377,ttest_rel
grover_base_rdkit,Pearson_R,MOR,reg,0.12044472790832522,wilcoxon
grover_base_rdkit,Pearson_R,MOR,reg,0.16061603336884153,ttest_ind
grover_base_rdkit,Pearson_R,MOR,reg,0.173777038979135,ranksums
grover_base_rdkit,RMSE,DOR,reg,0.004681178630004167,ttest_rel
grover_base_rdkit,RMSE,DOR,reg,0.0012866311206026155,wilcoxon
grover_base_rdkit,RMSE,DOR,reg,0.0009761706060964948,ttest_ind
grover_base_rdkit,RMSE,DOR,reg,0.0010855630297854832,ranksums
grover_base_rdkit,MAE,DOR,reg,0.005695689131719273,ttest_rel
grover_base_rdkit,MAE,DOR,reg,0.001832579947170524,wilcoxon
grover_base_rdkit,MAE,DOR,reg,0.0015795185855693456,ttest_ind
grover_base_rdkit,MAE,DOR,reg,0.002822333558357556,ranksums
grover_base_rdkit,R2,DOR,reg,0.0003684262733156184,ttest_rel
grover_base_rdkit,R2,DOR,reg,0.0005706436710454648,wilcoxon
grover_base_rdkit,R2,DOR,reg,0.00011808525645245239,ttest_ind
grover_base_rdkit,R2,DOR,reg,0.0002604562533350631,ranksums
grover_base_rdkit,Pearson_R,DOR,reg,0.0006515054011303526,ttest_rel
grover_base_rdkit,Pearson_R,DOR,reg,0.0008307070066870031,wilcoxon
grover_base_rdkit,Pearson_R,DOR,reg,0.00021517704087651638,ttest_ind
grover_base_rdkit,Pearson_R,DOR,reg,0.0005715431241255693,ranksums
grover_base_rdkit,RMSE,KOR,reg,7.365301674945627e-05,ttest_rel
grover_base_rdkit,RMSE,KOR,reg,0.00013594767036744938,wilcoxon
grover_base_rdkit,RMSE,KOR,reg,0.00016714976428765463,ttest_ind
grover_base_rdkit,RMSE,KOR,reg,0.000275865488330761,ranksums
grover_base_rdkit,MAE,KOR,reg,8.984940622239138e-05,ttest_rel
grover_base_rdkit,MAE,KOR,reg,0.00022248266458074938,wilcoxon
grover_base_rdkit,MAE,KOR,reg,0.00011558538429891628,ttest_ind
grover_base_rdkit,MAE,KOR,reg,0.00012106938258946643,ranksums
grover_base_rdkit,R2,KOR,reg,0.00043260931178716567,ttest_rel
grover_base_rdkit,R2,KOR,reg,0.0008944300647461546,wilcoxon
grover_base_rdkit,R2,KOR,reg,0.00034282591443813074,ttest_ind
grover_base_rdkit,R2,KOR,reg,0.0005121117284355349,ranksums
grover_base_rdkit,Pearson_R,KOR,reg,0.0018325840819442497,ttest_rel
grover_base_rdkit,Pearson_R,KOR,reg,0.0019645813713265476,wilcoxon
grover_base_rdkit,Pearson_R,KOR,reg,0.0012858086280772192,ttest_ind
grover_base_rdkit,Pearson_R,KOR,reg,0.0012045979432564896,ranksums
