split_type,metric_name,mol_prop,model_name,task,p_value,stats_method
scaffold,RMSE,KOR,grover_base_rdkit,reg,0.7951787073834373,ttest_rel
scaffold,RMSE,KOR,grover_base_rdkit,reg,0.5716457836721114,wilcoxon
scaffold,RMSE,KOR,grover_base_rdkit,reg,0.8070371616043782,ttest_ind
scaffold,RMSE,KOR,grover_base_rdkit,reg,0.3440449406444759,ranksums
scaffold,MAE,KOR,RF,reg,0.00037863894760718075,ttest_rel
scaffold,MAE,KOR,RF,reg,0.0008944300647461546,wilcoxon
scaffold,MAE,KOR,RF,reg,0.00029730492574641824,ttest_ind
scaffold,MAE,KOR,RF,reg,0.0025611401322137555,ranksums
scaffold,MAE,KOR,molbert,reg,0.9025980979042811,ttest_rel
scaffold,MAE,KOR,molbert,reg,0.6435165948165775,wilcoxon
scaffold,MAE,KOR,molbert,reg,0.8959998689910673,ttest_ind
scaffold,MAE,KOR,molbert,reg,0.6897609572758945,ranksums
scaffold,MAE,KOR,grover_base,reg,0.7247308734328125,ttest_rel
scaffold,MAE,KOR,grover_base,reg,0.7343252914391281,wilcoxon
scaffold,MAE,KOR,grover_base,reg,0.8045345931964385,ttest_ind
scaffold,MAE,KOR,grover_base,reg,0.72271979157106,ranksums
scaffold,MAE,KOR,grover_base_rdkit,reg,0.3284272534219206,ttest_rel
